变量编号,位号,中文名称,取值范围,单位,Δ值
132,S-ZORB.LT_3101.DACA,D-124液位,-1.8-(7.0),mm,0.5
133,S-ZORB.PC_3101.DACA,D-124压力,0.35-0.50,MPa,0.05
134,S-ZORB.TE_3101.DACA,D-124顶出口管温度,3-40,℃,1
135,S-ZORB.FT_3303.DACA,D-123蒸汽出口流量,0-650,Nm3/h,50
136,S-ZORB.LC_3301.DACA,D123冷凝水罐液位,45-55,%,5
137,S-ZORB.PC_3301.DACA,D-123压力,0.25-0.40,MPa,0.1
138,S-ZORB.FT_3304.DACA,D-123凝结水入口流量,-10000-2000,,200
139,S-ZORB.LT_1501.DACA,D-122液位液位,-1.5-(-1.2),mm,
140,S-ZORB.TE_1501.DACA,D-122入口管温度,20-30,℃,1
141,S-ZORB.TE_1502.DACA,D-122顶出口管温度,4-100,℃,1
142,S-ZORB.LC_1203.DACA,D-121水液位,35-55,%,2
143,S-ZORB.LT_2101.DACA,D-114液位,-1.5-(-1.2),mm,
144,S-ZORB.FT_3001.DACA,D-113顶放空线流量,15-250,,10
145,S-ZORB.FT_2701.DACA,D-110蒸汽盘管入口流量,2-65,,5
146,S-ZORB.SIS_PT_2703,D-110底压力,0.15-56000,KPa,100
147,S-ZORB.FC_2702.DACA,D-110底流化N2流量,15-50,,5
148,S-ZORB.TC_2702.DACA,D-110底部,150-320,,5
149,S-ZORB.PT_2905.DACA,D-109压力,0.1-0.15,,0.05
150,S-ZORB.LT_2901.DACA,D-109吸附剂料位,-0.05-(70),,5
151,S-ZORB.FT_2901.DACA,D-109松动风流量,0-30,,5
152,S-ZORB.TE_2901.DACA,D-109上部温度,5-75,℃,1
153,S-ZORB.TE_2902.DACA,D-109底部,3-60,,5
154,S-ZORB.FT_2502.DACA,D-107下部松动风流量,3-35,,5
155,S-ZORB.TE_2501.DACA,D-107温度,100-250,℃,1
156,S-ZORB.PT_2501.DACA,D-107顶压力,0.05-0.20,,0.05
157,S-ZORB.PT_2502.DACA,D-107底压力,0.1-0.2,,0.05
158,S-ZORB.PDT_2503.DACA,D-107底排放滑阀压差,-0.5-(400000),,1000
159,S-ZORB.ZT_2533.DACA,D-107底滑阀,0.5-110,,10
160,S-ZORB.FT_2433.DACA,D-106压力仪表管嘴反吹气流量,2-10,,1
161,S-ZORB.TE_2401.DACA,D-106温度,200-350,℃,1
162,S-ZORB.FC_2432.DACA,D-106热氮气流量,0-75,,5
163,S-ZORB.FT_2303.DACA,D-105下锥体松动风流量,0-30,Nm3/h,5
164,S-ZORB.FT_2302.DACA,D-105上跨接线松动风流量,0-250,Nm3/h,20
165,S-ZORB.LT_1301.DACA,D-103底部液位,-1.5-(9),mm,1
166,S-ZORB.SIS_TE_2802,D-102温度,250-350,℃,1
167,S-ZORB.LT_1002.DACA,D-101脱水包液位,-5-(2),,1
168,S-ZORB.TE_5002.DACA,C-201下部进料管温度,100-150,℃,1
169,S-ZORB.TE_5004.DACA,稳定塔顶出口温度,40-80,℃,1
170,S-ZORB.FC_5203.DACA,精制汽油去进料缓冲罐流量,-4000000-350000,,10000
171,S-ZORB.TE_5006.DACA,稳定塔底出口温度,100-150,℃,1
172,S-ZORB.TE_5003.DACA,C-201#37层塔盘温度,50-100,℃,1
173,S-ZORB.TE_5201.DACA,A-202A/B出口总管温度,30-100,℃,1
174,S-ZORB.TE_5101.DACA,A-201出口总管温度,20-80,℃,1
175,S-ZORB.FT_2431.DACA,,20-1500,,100
176,S-ZORB.TC_2201.PV,EH101出口,-165000-(430),,50
177,S-ZORB.TC_2201.OP,EH101出口,5-20,,1
178,S-ZORB.FT_3201.DACA,D-110顶压力,235-1000,,50
179,S-ZORB.SIS_PT_2602.PV,再生器顶部/再生器接收器差压,-120-(150),KPa,10
180,S-ZORB.SIS_TE_2606.PV,再生器下部温度,400-550,℃,10
181,S-ZORB.SIS_TE_2605.PV,再生器下部温度,450-550,℃,1
182,S-ZORB.PDT_2704.DACA,再生器接收器顶部/再生器接收器底部差压,25-55,,5
183,S-ZORB.PDT_2703B.DACA,再生器接收器/LH差压,-2.5-(1.0),,0.05
184,S-ZORB.PDC_2702.DACA,再生器底部与再生接收器压差,10-40,,5
185,S-ZORB.PDI_2501.DACA,再生进料罐/LH差压,-2.5-(0.5),,0.1
186,S-ZORB.AT_1001.DACA,原料汽油硫含量,1.5-645,,10
187,S-ZORB.PT_6009.DACA,预热器空气出口压力,0-1.5,MPa,0.1
188,S-ZORB.LI_2107.DACA,TAG表和PID图未见PDI-2107点，是否为DI-2107,-3-(9),,1
189,S-ZORB.LI_2104.DACA,由PDI2104计算出,15-45,,1
190,S-ZORB.TE_6002.DACA,烟气出辐射室温度,600-800,℃,1
191,S-ZORB.TE_6001.DACA,烟气出对流室温度,300-400,℃,1
192,S-ZORB.PT_1101.DACA,循环氢压缩机出口去混氢点压力,2.5-3.5,MPa,0.1
193,S-ZORB.FT_3501.DACA,循环氢至闭锁料斗料腿流量,-1-1,,0.1
194,S-ZORB.PC_3001.DACA,D-113压力,0-0.15,MPa,0.05
195,S-ZORB.FC_5103.DACA,稳定塔顶回流流量,700-25000,,1000
196,S-ZORB.TE_5001.DACA,E-206壳程出口管温度,50-150,℃,1
197,S-ZORB.FT_2002.DACA,热循环气去R101底提升气管流量,0-400,Nm3/h,50
198,S-ZORB.PDT_3601.DACA,热氮气过滤器ME-113差压,-0.5-(0.5),,0.1
199,S-ZORB.PDT_3602.DACA,冷氮气过滤器ME-114差压,0-1,,0.1
200,S-ZORB.PT_6006.DACA,空气预热器烟气入口压力,-1.5-0,Pa,0.1
201,S-ZORB.SIS_TE_6009.PV,预热器入口烟气温度,10-350,℃,20
202,S-ZORB.SIS_PT_6007.PV,空气预热器烟气出口压力,-1500-（-100）,Pa,100
203,S-ZORB.TE_6008.DACA,空气预热器空气出口温度,10-300,℃,5
204,S-ZORB.PT_5201.DACA,精制汽油出装置线压力,0.5-0.65,,0.05
205,S-ZORB.FC_1104.DACA,进料调节阀旁路流量,0-1,,0.1
206,S-ZORB.PC_3501.DACA,紧急氢气总管,0-3.5,,0.2
207,S-ZORB.FT_2001.DACA,紧急氢气去R-101流量,-8-75,Nm3/h,5
208,S-ZORB.FT_2803.DACA,紧急氢气去D-102流量,0-3,Nm3/h,0.5
209,S-ZORB.LT_9101.DACA,火炬罐D-206液位,-5-(35),,5
210,S-ZORB.PDI_2801.DACA,还原器LH差压,0-2.5,,0.5
211,S-ZORB.PT_6003.DACA,鼓风机入口压力,-0.1-（0.1）,,0.1
212,S-ZORB.AT_6201.DACA,非净化风干燥后露点温度,-50-20,℃,1
213,S-ZORB.PDI_2301.DACA,反应器接收器LH差压,0-2.5,,0.1
214,S-ZORB.PDI_2105.DACA,反吹气体聚集器/补充氢差压,2.5-5.5,,0.1
215,S-ZORB.PC_2902.DACA,低压热氮气压力,0.25-0.45,,0.1
216,S-ZORB.FT_1502.DACA,补充氢压缩机出口返回管流量,0-2500,,50
217,S-ZORB.BS_LT_2401.PV,闭锁料斗液位,2.5-62.5,,5
218,S-ZORB.BS_AT_2402.PV,闭锁料斗氧含量,-0.5-5,,1
219,S-ZORB.PC_2401.DACA,闭锁料斗顶压力,0.05-2.25,,0.1
220,S-ZORB.BS_AT_2401.PV,闭锁料斗烃含量,-0.5-5,,0.1
221,S-ZORB.PC_2401B.DACA,闭锁料斗充氢线压力控制,0.05-2.35,,0.1
222,S-ZORB.FT_3701.DACA,闭锁料斗N2过滤器出口气流量,0-60,,5
223,S-ZORB.FT_3702.DACA,闭锁料斗H2过滤器出口气流量,0-60,,5
224,S-ZORB.PT_2603.DACA,R-102下部压力,0.1-0.2,,0.05
225,S-ZORB.LC_2601.DACA,R-102床层吸附剂料位密度,40-100,,10
226,S-ZORB.PDT_2605.DACA,R-102底喷头压差,-0.5-30,,0.5
227,S-ZORB.PT_2607.DACA,R-102底排放滑阀后氮气线压力,0.1-0.2,,0.1
228,S-ZORB.PDT_2606.DACA,R-102底滑阀差压,-0.5-20,,1
229,S-ZORB.ZT_2634.DACA,R-102底滑阀,-0.5-100,,5
230,S-ZORB.TE_2608.DACA,R-102底部锥段温度,100-500,℃,5
231,S-ZORB.TE_2603.DACA,R-102 #3通风挡板温度,300-500,℃,5
232,S-ZORB.TE_2604.DACA,R-102 #1通风挡板温度,450-550,℃,1
233,S-ZORB.DT_2001.DACA,R-101下部床层压降,0-120,,10
234,S-ZORB.DT_2107.DACA,R-101上部床层压降,-3-10,,1
235,S-ZORB.TE_2104.DACA,R-101顶反应产物出口管温度,400-450,℃,1
236,S-ZORB.PDT_2001.DACA,R-101底格栅上下压差,5-40,,2
237,S-ZORB.TE_2002.DACA,R-101床层中部温度,400-450,℃,1
238,S-ZORB.TE_2001.DACA,R-101床层中部温度,-243600-12500000,℃,1
239,S-ZORB.TE_2004.DACA,R-101床层下部温度,400-450,℃,1
240,S-ZORB.TE_2003.DACA,R-101床层下部温度,400-450,℃,1
241,S-ZORB.PC_2401B.PIDA.SP,8.0步骤PIC2401B.SP,0-2.5,,0.1
242,S-ZORB.PC_2401B.PIDA.OP,9.0步骤PIC2401B.OP,15-55,,5
243,S-ZORB.PC_2401.PIDA.OP,1.1步骤PIC2401B.OP,25-110,,10
244,S-ZORB.PC_2401.PIDA.SP,3.0步骤PIC2401A.SP,0-2.5,,0.1
245,S-ZORB.FT_3302.DACA,P-105A/B出口总管流量,10-1000,t/h,0.5
246,S-ZORB.PDT_1003.DACA,P-101B入口过滤器差压,-1.5-12,,1
247,S-ZORB.PDT_1002.DACA,P-101A入口过滤器差压,-0.5-12,,1
248,S-ZORB.PDT_2409.DACA,ME-115过滤器压差,-0.5-25,,1
249,S-ZORB.PDT_3503.DACA,ME-112过滤器压差,-0.5-1.5,,0.1
250,S-ZORB.PDT_3502.DACA,ME-109过滤器差压,5-20,,1
251,S-ZORB.PDT_2906.DACA,ME-108过滤器差压,-2-25,,1
252,S-ZORB.PDT_3002.DACA,ME-105过滤器压差,0-32,,1
253,S-ZORB.PDT_1004.DACA,ME-104出入口,-1-55,,2
254,S-ZORB.PDI_2903.DACA,ME-103进出口差压,4-60,,5
255,S-ZORB.PT_2901.DACA,ME-103反吹气总管压力,485-590,,1
256,S-ZORB.PT_2106.DACA,ME-101反吹气总管压力,4.5-6.0,,0.1
257,S-ZORB.FT_1301.DACA,K-103出口去K-101出口管流量,100-3500,,100
258,S-ZORB.PT_7510B.DACA,K-103B排气压力,0-3.5,,0.1
259,S-ZORB.TE_7508B.DACA,K-103B排气温度,2-100,℃,1
260,S-ZORB.PT_7508B.DACA,K-103B进气压力,0-2,,0.2
261,S-ZORB.TE_7506B.DACA,K-103B进气温度,0-40,℃,1
262,S-ZORB.PT_7510.DACA,K-103A排气压力,0.05-400000,,1000
263,S-ZORB.TE_7508.DACA,K-103A排气温度,-2000-45,℃,1
264,S-ZORB.PT_7508.DACA,K-103A进气压力,-350000-（75）,,1000
265,S-ZORB.TE_7506.DACA,K-103A进气温度,-20000-250,℃,1
266,S-ZORB.PT_7505B.DACA,K-102B排气压力,-0.05-(6),,0.2
267,S-ZORB.TE_7504B.DACA,K-102B排气温度,2-150,℃,1
268,S-ZORB.PT_7503B.DACA,K-102B进气压力,0-2.25,,0.1
269,S-ZORB.TE_7502B.DACA,K-102B进气温度,0-40,℃,1
270,S-ZORB.PT_7505.DACA,K-102A排气压力,0-16,,1
271,S-ZORB.TE_7504.DACA,K-102A排气温度,5-40,℃,1
272,S-ZORB.PT_7503.DACA,K-102A进气压力,-0.05-(18),,1
273,S-ZORB.PT_7502.DACA,K-102A进气温度,20-30,℃,1
274,S-ZORB.TE_7106B.DACA,K-101B左排气温度,3-80,℃,1
275,S-ZORB.TE_7108B.DACA,K-101B右排气温度,3-75,℃,1
276,S-ZORB.PT_7107B.DACA,K-101B排气压力,0-3.5,,0.05
277,S-ZORB.PT_7103B.DACA,K-101B进气压力,0-2.5,,0.05
278,S-ZORB.TE_7102B.DACA,K-101B进气温度,0-50,℃,1
279,S-ZORB.TE_7106.DACA,K-101A左排气温度,5-65,℃,1
280,S-ZORB.PT_7107.DACA,K-101A排气压力,-2-4000,℃,1
281,S-ZORB.PT_7103.DACA,K-101A进气压力,-0.5-(4000),,100
282,S-ZORB.TE_7102.DACA,K-101A进气温度,9.5-4000,,100
283,S-ZORB.HIC_2533.AUTOMANA.OP,HV2533手操器,15-150,℃,1
284,S-ZORB.FC_2432.PIDA.SP,3.0步骤FIC2432.SP,0-80,,2
285,S-ZORB.PT_1604.DACA,F-101长明灯线压力,0.1-0.3,,0.1
286,S-ZORB.TC_1607.DACA,F-101循环氢出口管温度,320-480,,2
287,S-ZORB.PT_6005.DACA,F-101辐射室底部压力,-2-0,℃,0.1
288,S-ZORB.PT_6008.DACA,F-101辐射室出口压力,-0.5-（0）,,0.1
289,S-ZORB.PT_1601.DACA,F-101出口总管压力,2.35-2.70,,0.1
290,S-ZORB.TE_1605.DACA,F-101出口支管#4温度,400-420,,1
291,S-ZORB.TE_1604.DACA,F-101出口支管#3温度,400-450,℃,1
292,S-ZORB.TE_1603.DACA,F-101出口支管#2温度,400-420,℃,1
293,S-ZORB.TE_1602.DACA,F-101出口支管#1温度,400-420,℃,1
294,S-ZORB.SIS_FT_3202.PV,EH-103入口流量,120-350,℃,1
295,S-ZORB.TXE_3202A.DACA,EH-103加热元件温度,250-500,Nm3/h,10
296,S-ZORB.TXE_3201A.DACA,EH-103加热元件温度,300-550,℃,1
297,S-ZORB.TC_3203.DACA,EH-103出口总管,200-350,℃,1
298,S-ZORB.SIS_TEX_3103B.PV,EH-102加热元件/B束温度,80-150,,2
299,S-ZORB.TEX_3103A.DACA,EH-102加热元件/A束温度,0-100,℃,1
300,S-ZORB.TE_3111.DACA,EH-102出口空气总管温度,65-350000,℃,1
301,S-ZORB.TE_3112.DACA,EH-102出口管,65-150,℃,1
302,S-ZORB.TXE_2203A.DACA,EH-101加热元件温度,300-550,,2
303,S-ZORB.TXE_2202A.DACA,EH-101加热元件温度,300-550,℃,1
304,S-ZORB.TE_5008.DACA,E-205壳程出口管温度,40-100,℃,1
305,S-ZORB.TE_5009.DACA,E-205管程入口管温度,5-50,℃,1
306,S-ZORB.FC_5001.DACA,E203重沸器管程出口凝结水流量,500-3800,℃,1
307,S-ZORB.TE_5007.DACA,E-203壳程出口管温度,100-150,℃,1
308,S-ZORB.TE_1504.DACA,E-106管程入口管温度,2-100,℃,1
309,S-ZORB.TE_1503.DACA,E-106管程出口管温度,2-50,℃,1
310,S-ZORB.TC_3102.DACA,E-105管程出口管,150-300,℃,1
311,S-ZORB.TE_1102.DACA,E-101壳程入口总管温度,400-450,℃,1
312,S-ZORB.AT-0001.DACA.PV,S_ZORB AT-0001,0-10,℃,0.1
313,S-ZORB.AT-0002.DACA.PV,S_ZORB AT-0002,0-8,,1
314,S-ZORB.AT-0003.DACA.PV,S_ZORB AT-0003,0-6,,1
315,S-ZORB.AT-0004.DACA.PV,S_ZORB AT-0004,0.4-0.8,,0.1
316,S-ZORB.AT-0005.DACA.PV,S_ZORB AT-0005,0.4-0.6,,0.1
317,S-ZORB.AT-0006.DACA.PV,S_ZORB AT-0006,0.4-0.6,,0.1
318,S-ZORB.AT-0007.DACA.PV,S_ZORB AT-0007,0.4-1.0,,0.1
319,S-ZORB.AT-0008.DACA.PV,S_ZORB AT-0008,0.4-0.8,,0.1
320,S-ZORB.AT-0009.DACA.PV,S_ZORB AT-0009,0.4-0.8,,0.1
321,S-ZORB.AT-0010.DACA.PV,S_ZORB AT-0010,0.5-2.0,,0.1
322,S-ZORB.AT-0011.DACA.PV,S_ZORB AT-0011,0.4-0.8,,0.1
323,S-ZORB.AT-0012.DACA.PV,S_ZORB AT-0012,0.2-2.2,,0.1
324,S-ZORB.AT-0013.DACA.PV,S_ZORB AT-0013,0.2-1.8,,0.1
325,S-ZORB.TE_2104.DACA.PV,过滤器ME-101出口温度,400-450,,1
326,S-ZORB.SIS_PDT_2103A.PV,过滤器ME-101压差,10-50,℃,1
327,S-ZORB.PT_2106.DACA.PV,反吹气压力,4.5-6.0,KPa,0.1
328,S-ZORB.TE_6008.DACA.PV,预热器出口空气温度,0-300,,2
329,S-ZORB.TE_6001.DACA.PV,对流室出口温度,0-400,℃,2
330,S-ZORB.FT_1204.DACA.PV,D-121含硫污水排量,0-250,℃,2
331,S-ZORB.LC_1203.PIDA.PV,D-121含硫污水液位,35-55,%,2
332,S-ZORB.FT_5102.DACA.PV,D-201含硫污水排量,0-420,,10
333,S-ZORB.LC_5102.PIDA.PV,D-201含硫污水液位,35-85,%,5
334,S-ZORB.TE_1103.DACA.PV,E-101ABC管程出口温度,0-380,℃,2
335,S-ZORB.TE_1104.DACA.PV,E-101DEF管程出口温度,5-400,℃,1
336,S-ZORB.TE_1102.DACA.PV,E-101壳程入口总管温度,400-450,℃,1
337,S-ZORB.TE_1106.DACA.PV,E-101ABC壳程出口温度,0-200,℃,2
338,S-ZORB.TE_1107.DACA.PV,E-101DEF壳程出口温度,-1-150,℃,1
339,S-ZORB.TE_1101.DACA.PV,E-101壳程出口总管温度,5-150,℃,1
340,S-ZORB.CAL.LINE.PV,反应器线速,0.2-0.5,℃,0.01
341,S-ZORB.CAL.CANGLIANG.PV,反应器藏量,15-45,t,1
342,S-ZORB.CAL.SPEED.PV,反应器质量空速,2.95-7.00,h-1,0.5
343,S-ZORB.CAL.LEVEL.PV,反应器料位,-4200-20000,,100
344,S-ZORB.RXL_0001.AUXCALCA.PV,加热炉效率,90-98,,1
345,S-ZORB.CAL_1.CANGLIANG.PV,再生器藏量,1.2-3.6,t,0.2
