	os	oRON			iRON	ibaohe	S-ZORB.AT_5201.PV	S-ZORB.FT_9302.PV	S-ZORB.FT_9401.PV	S-ZORB.FT_1001.PV	S-ZORB.TE_1001.PV	S-ZORB.TE_1105.PV	S-ZORB.PC_1603.PV	S-ZORB.FC_1201.PV	S-ZORB.TC_2801.PV	S-ZORB.TE_1101.DACA	S-ZORB.TE_1103.DACA	S-ZORB.FT_2433.DACA	S-ZORB.LT_1301.DACA	S-ZORB.TE_5002.DACA	S-ZORB.AT_1001.DACA	S-ZORB.FT_3501.DACA	S-ZORB.PDI_2301.DACA	S-ZORB.PC_2401B.DACA	S-ZORB.TE_2608.DACA	S-ZORB.PDT_2906.DACA	S-ZORB.TE_7108B.DACA	S-ZORB.PT_7107B.DACA	S-ZORB.TE_7102B.DACA	S-ZORB.SIS_FT_3202.PV	S-ZORB.TXE_2203A.DACA	S-ZORB.TXE_2202A.DACA	S-ZORB.TE_5008.DACA	S-ZORB.FC_5001.DACA
13	6.3	87.7	12	89.2	55.5	1.0265	4502.2784	98.8708	46.4407	41.1995	47.293	0.0409	108.5167	275.8204	117.4765	359.2108	3.8507	-0.9452	113.5482	91.4786	0.1509	1.0601	1.3284	391.9791	-0.89	57.4977	3.1471	31.6348	271.9745	486.8165	486.9457	85.9668	3578.0258	
14	3.2	85.4	13	86.8	56.5	2.4991	4514.6351	98.7427	49.8433	41.8842	48.498	0.0369	108.655	270.7766	117.9398	363.1482	4.1169	-0.7972	113.7858	95.8037	0.0881	0.9783	1.3688	397.7195	-0.8341	56.6584	3.1507	30.7452	269.0359	480.2393	480.82	85.5818	3519.0304	
15	3.2	86.1	14	87.8	55.7	0.2037	4526.573	107.6596	49.7254	42.2199	49.7818	0.0415	107.4287	271.769	116.9316	362.1266	3.5775	-0.2807	112.3566	112.1389	0.0653	0.7861	1.6043	486.3985	-0.4388	55.2934	3.1474	29.6638	184.9835	480.6908	480.7746	72.8974	2871.1649	
16	3.2	86.7	15	88.4	56.56	-0.1224	4581.6383	103.5314	61.0426	44.3272	50.8918	0.039	106.8951	264.3966	118.7568	365.1255	3.6272	5.2572	114.0218	98.7254	0.0381	0.7431	1.6353	483.3942	-0.4387	55.0608	3.1505	29.5578	187.2718	481.3688	481.2795	70.2445	2539.6368	
17	4.4	86.1	16	87.2	57.2	-0.3156	4546.9627	104.3729	49.6598	42.6248	49.2435	0.0382	107.6432	266.2403	117.6318	363.2962	3.822	-0.7213	113.0384	108.7272	-0.0223	0.7875	1.5506	465.4469	-0.4427	54.5048	3.1473	29.288	184.9894	480.1349	480.1352	74.8556	2793.1915	
18	3.2	86.49	17	88	56.34	-0.3101	4540.0587	103.2887	48.4923	41.6029	48.8207	0.0417	108.32	253.0271	116.7513	362.9238	4.0289	-0.5176	111.8147	98.0904	0.0619	0.8959	1.4614	419.1686	-0.4488	52.3142	3.1482	28.6254	181.8903	468.6852	468.7538	75.5204	2632.1027	
19	3.2	87.09	18	88.2	55.91	-0.3202	4475.5709	103.5305	49.8694	42.9531	49.6514	0.0437	113.4832	262.8552	118.9613	362.5731	3.6586	-0.6178	114.087	89.636	0.0211	0.7896	1.6126	368.4348	-0.5003	55.8222	3.1469	31.547	182.3872	467.6609	468.5208	75.3124	2453.7623	
20	3.2	87.59	19	88.8	55.7	-0.3136	4549.1337	100.2982	50.7443	43.0228	49.1744	0.0451	118.4591	270.363	119.8516	363.6091	4.1845	0.3228	115.0745	84.2387	0.0689	1.0127	1.4618	349.322	-0.4641	53.3314	3.1466	30.7152	187.948	463.7654	465.0281	73.8096	2399.0571	
21	3.2	86.59	20	88.1	56.41	-0.3143	4500.7443	102.0522	48.6959	41.2963	47.8134	0.0468	125.1917	265.5985	118.1776	362.6564	3.9527	-0.9562	113.4505	87.3821	-0.0133	0.9135	1.547	278.9312	-0.5465	53.988	3.1471	30.7508	160.7573	462.018	462.6558	76.9418	2534.3664	
22	3.2	87.19	21	88.2	56.7	-0.2982	4511.9544	103.1444	47.3242	42.0934	48.2005	0.0512	120.9729	267.8663	119.0528	361.1718	2.0542	-0.6051	114.4485	85.2889	0.0022	1.9798	0.4873	284.2371	-0.478	52.7174	3.1464	29.6415	157.7989	467.2081	468.4449	75.7165	2594.7601	
23	3.2	87.99	22	89.6	56.59	-0.1815	4583.716	101.1764	104.2731	59.6394	56.4788	0.039	118.3799	275.0787	129.8046	367.0363	4.3521	-0.6363	123.431	165.7233	0.0231	1.2075	1.2769	297.9395	-0.4693	53.5056	3.148	31.0223	169.1945	462.3824	463.1558	62.9767	1988.7276	
24	3.2	87.59	23	89	56.5	-0.3077	4618.4673	101.9994	91.7294	53.7062	52.8234	0.0418	118.6078	257.2382	125.4782	366.6491	4.0026	-0.3908	119.7562	148.5051	0.0202	1.1304	1.3339	282.8031	-0.4561	50.3884	3.1481	28.0403	169.9187	466.4434	467.041	67.393	2409.9704	
25	3.2	87.89	24	89.3	55.13	-0.3007	4596.4395	101.6958	90.1268	56.2154	53.775	0.0361	119.4969	261.6357	127.6883	368.6922	3.8918	-0.3867	121.3745	160.1665	-0.0382	1.1372	1.3321	296.8965	-0.3713	51.3871	3.1498	28.4611	169.9394	468.0673	469.4334	69.1813	2476.1815	
26	3.2	87.69	25	89.2	54.1	-0.282	4651.5628	100.9721	89.8202	56.5209	55.0703	0.0404	119.5069	267.0115	127.9281	367.7721	4.4978	-0.4336	121.8984	171.1381	-0.0089	1.1488	1.3151	285.2102	-0.3827	51.3772	3.1534	28.5491	169.2086	468.1527	469.0631	64.2231	2257.9257	
27	3.2	87.29	26	88.7	55.19	-0.301	4564.5046	107.6634	93.7818	56.4446	56.052	0.0432	119.964	261.5693	127.9538	365.2209	4.3965	8.7674	121.4946	186.2207	0.0684	1.1943	1.2618	290.2016	-0.4453	55.2874	3.1463	32.9565	172.4557	471.4199	472.2336	70.6832	2289.4013	
28	3.2	87.89	27	89	56	-0.2555	4533.7025	117.4766	92.8489	59.7673	59.4745	0.0369	119.5703	272.1186	130.2978	367.0439	4.0204	-0.1721	123.363	213.1634	0.4494	1.186	1.2721	290.2341	-0.5752	56.8955	3.1436	34.1819	173.1687	468.3692	469.1582	71.2138	2459.5919	
29	3.2	88.29	28	89.7	55.81	0.3296	4598.0201	108.224	91.6643	58.3729	58.2792	0.042	120.4208	269.0701	129.7146	366.5841	4.4669	0.6939	123.0328	207.6934	0.0172	1.2271	1.2254	289.2393	-0.4048	55.6307	3.1446	33.2181	176.3145	467.7695	468.7571	66.05	2011.8329	
30	3.2	87.99	29	89.2	55.67	-0.2734	4615.0658	109.2532	92.3429	59.0326	56.9273	0.0426	120.564	268.0204	129.9322	366.3644	3.732	0.1601	123.51	314.4864	0.0343	1.1511	1.32	295.0267	-0.3492	51.7875	3.1521	29.2507	169.8508	464.5941	466.0836	63.806	2130.5576	
31	3.2	87.39	30	89.1	55.48	-0.2956	4564.5035	112.4885	91.5474	59.7804	60.1875	0.04	121.1366	275.7841	130.8032	365.5833	4.8182	-0.3506	124.0334	210.8218	-0.0048	1.0655	1.3943	281.787	-0.4907	57.8355	3.1485	35.2484	168.9512	457.8981	458.4565	67.0846	1278.6385	
32	3.2	87.09	31	88.5	55.33	-0.2728	4562.2682	109.7108	87.3297	57.0619	57.5001	0.0412	121.1706	265.9569	129.0613	367.4362	4.5871	0.6038	122.4668	205.3947	0.0313	1.1706	1.2714	296.8587	-0.4221	55.7812	3.1492	32.4169	172.4343	467.4021	468.5478	69.656	2306.8035	
33	3.2	87.29	32	88.4	55.14	-0.1921	4611.0522	111.7228	91.8273	58.1641	55.8905	0.042	121.0775	271.7177	129.2879	366.6599	4.2879	-0.2702	122.7748	253.1793	0.0665	1.0343	1.413	289.6242	-0.3879	53.7316	3.1522	30.7737	167.3426	464.9031	466.4491	67.3569	2282.5253	
34	3.2	87.19	33	88.1	55	-0.2015	4570.5396	113.2893	94.8479	59.0314	58.3011	0.0409	120.9161	273.8949	130.3	366.976	4.5993	-0.3353	123.6439	214.7444	0.0163	1.0941	1.3523	278.7237	-0.382	55.1385	3.1491	31.8849	173.3803	467.2658	468.2043	65.2593	2168.135	
35	4.8	87.59	34	88.7	54.51	0.016	4596.747	112.1849	101.0388	60.01	57.67	0.0387	120.767	270.0067	130.668	367.6119	4.2176	0.1857	123.6524	244.9056	-0.0085	1.0344	1.4054	280.6126	-0.3777	52.7776	3.1521	29.9168	167.1947	464.6183	466.3532	66.4068	2415.5579	
36	3.2	86.09	35	87.5	54.15	0.1729	4574.5112	115.732	104.5268	60.2556	56.6429	0.0449	120.3748	264.0206	130.2483	366.6385	4.5085	0.6618	123.6103	252.7748	-0.0158	1.0247	1.415	268.0628	-0.3617	52.4053	3.1489	29.1649	170.2404	467.4693	468.798	66.4007	2100.69	
37	3.2	88.09	36	89.4	53.66	0.2052	4565.3272	113.5213	102.1758	61.4447	59.9396	0.0428	120.5439	280.0282	132.0193	366.2368	4.227	1.2622	125.1439	248.6783	0.0331	1.0533	1.4057	269.0071	-0.4259	56.2377	3.1529	33.6239	168.0606	464.7231	465.2681	67.9294	1895.2841	
38	3.2	87.79	37	89.1	53.3	0.0528	4570.1413	117.4503	107.156	60.7934	59.3344	0.0419	120.5704	285.2475	131.8183	367.6597	5.0426	-0.1332	125.3499	255.4686	0.3253	1.7323	0.7223	256.8902	-0.3774	56.2354	3.1505	33.2978	188.9774	456.5664	457.4897	65.2219	1839.5867	
39	3.2	88.26	38	89.5	53.6	-0.2834	4541.7849	114.8376	104.5709	61.4597	58.5954	0.0345	120.1909	270.1748	131.3688	370.7638	4.2215	5.6237	124.8693	181.8954	0.0803	0.9887	1.4799	295.203	-0.4093	54.5641	3.2031	31.485	168.508	464.3255	465.3941	54.2138	1184.5851	
40	3.2	88.26	39	89.7	51.31	-0.1789	4593.5807	118.3494	105.2549	62.5239	59.7439	0.0373	119.7592	272.1963	131.554	368.4189	4.4403	-0.2871	125.1605	255.4994	0.0358	1.059	1.4239	302.4446	-0.4572	57.2173	3.1989	34.233	169.4968	467.7199	468.6644	53.1015	1063.2977	
41	3.2	87.66	40	89.2	49.6	-0.2884	4491.5879	114.8297	107.0343	60.9362	59.2465	0.0399	120.1298	263.2343	130.7281	369.8912	4.2487	0.0262	124.8027	208.8619	-0.0255	0.9851	1.5052	273.1899	-0.5892	57.6814	3.1941	34.2147	169.8462	470.8523	471.2711	66.6547	1790.2397	
42	7.4	88.58	41	89.8	50.34	4.8359	4557.078	118.0397	100.0674	59.3458	58.2976	0.0432	120.0072	278.5989	129.7826	366.0699	4.3003	-0.451	123.8356	266.9769	0.0188	1.1205	1.3159	285.8362	-0.4703	56.268	3.14	32.5639	171.5017	466.2234	467.1968	61.8901	1664.6205	
43	3.2	88.06	42	89.6	50.9	-0.2733	4584.6563	116.1377	97.9433	55.403	53.2026	0.0342	119.8949	263.9167	128.1157	371.5365	5.0534	0.4107	121.4721	258.4981	0.1166	1.5978	0.8329	398.483	-0.3646	47.5862	3.1436	25.084	183.0139	461.1752	462.3903	56.0145	1510.5941	
44	3.2	88.1	43	89.5	52.33	-0.1916	4584.8229	120.636	98.3536	58.1636	56.091	0.0543	119.4896	271.1356	128.5592	366.6924	4.1301	-0.0513	122.1216	323.9218	0.0492	1.0291	1.3694	423.6667	-0.372	53.3616	3.1424	29.4179	168.9429	468.4535	468.9292	54.9111	1321.2013	
45	7.6	88.5	44	89.7	53.4	4.8358	4587.1487	109.5382	95.5297	59.5608	58.7376	0.0531	120.468	282.2758	130.1298	365.0634	3.9997	-0.4569	123.2574	411.4976	0.2371	0.8238	1.6174	169.1212	-0.443	55.8445	3.1413	32.3746	155.2965	468.2159	468.7998	63.6279	1650.1163	
46	8.4	88.3	45	89.5	53.34	3.4595	4478.2035	111.392	94.5072	57.3972	56.7251	0.0539	119.3697	282.4503	128.2862	363.3499	3.7296	0.1069	122.1018	365.027	0.2279	0.7385	1.6994	174.9063	-0.3903	53.0752	3.1407	29.7361	151.3542	467.0907	467.9009	63.8823	1707.5984	
47	3.8	88.3	46	89.6	53.3	-0.1739	4577.6246	116.5623	95.4497	58.963	57.3262	0.0446	120.606	282.3802	130.3707	370.2064	4.9882	-0.6724	123.7823	396.9111	0.2114	1.6187	0.8061	177.9787	-0.6002	18.1615	0.0211	17.1972	166.8653	457.4926	457.6313	52.7854	1088.6923	
48	8.6	88.8	47	90	54.16	8.7417	4517.8741	110.9862	92.8985	58.1957	58.0884	0.0592	120.2178	294.2408	129.603	363.5044	4.8749	-0.5498	123.379	308.4155	0.2557	1.4262	0.996	218.9599	-0.4615	13.2695	0.1452	11.8099	166.7239	459.0817	460.1765	58.9078	1316.2522	
49	7	89.1	48	90.2	54.8	3.8789	4561.4338	112.7606	96.7136	58.9476	57.0123	0.0662	119.4376	281.48	128.3802	362.3249	3.9609	-0.485	122.3191	296.0959	0.2567	0.7775	1.6402	243.7856	-0.497	54.9564	3.1386	31.2008	153.512	467.4974	468.4054	44.2165	674.963	
50	4.2	88.6	49	89.6	57.44	1.2453	4566.2136	118.3209	96.5057	60.1577	57.2782	0.072	118.6182	272.3228	128.8479	361.7392	4.0479	2.8093	122.6701	237.5443	0.3063	0.8316	1.5918	267.3705	-0.409	53.0786	3.1395	30.5938	166.4562	467.2813	467.931	46.2964	846.6957	
51	4.8	88.42	50	89.6	59.5	1.2466	4584.4762	117.7177	97.9076	58.3696	54.9875	0.0743	117.9714	268.0295	127.8828	363.0425	3.9456	0.1837	122.3133	258.8523	0.1922	0.7768	1.6563	277.4691	-0.4002	50.8302	3.1398	26.4329	155.515	476.7091	478.213	46.0395	1018.7153	
52	3.2	88.7	51	90.1	58.53	-0.2395	4498.1421	115.33	101.0641	59.9465	57.6845	0.0613	118.5616	266.0459	129.7439	363.4121	3.6214	0.183	123.2941	187.3195	0.1398	0.8434	1.5846	264.8594	-0.468	52.5308	3.1377	29.9614	164.8645	480.5756	481.4194	58.5793	1536.4835	
53	3.2	89	52	90.2	57.8	-0.2648	4530.3699	119.2063	103.001	60.2159	57.5261	0.0675	117.685	272.3476	128.6361	363.1354	4.0091	-0.029	123.0729	194.9152	0.1371	0.784	1.6445	272.679	-0.46	52.0855	3.1384	29.5379	163.7179	478.7875	479.2876	54.2733	1276.116	
54	3.2	88.9	53	90.1	58.6	-0.1884	4514.4223	109.9266	107.3228	64.6829	61.9641	0.0607	119.0801	275.7981	133.3727	365.4481	3.8436	-0.7201	126.9413	201.0055	0.1396	0.8073	1.6236	265.6309	-0.5887	57.2109	3.1335	33.6775	166.9803	473.1271	473.6399	44.8022	521.3735	
55	3.2	88.6	54	89.8	59.2	-0.2486	4501.9924	115.3372	98.8559	60.5008	57.281	0.0691	117.8345	266.2357	129.6435	364.6946	3.853	5.2783	124.0274	183.2437	0.2397	0.8025	1.6185	279.7656	-0.4346	51.8073	3.141	28.2194	163.6384	475.2819	476.6122	49.0823	1026.0148	
56	3.2	88.2	55	89.6	60.91	-0.271	4493.0313	108.1864	107.514	67.2107	62.3539	0.0539	118.3088	270.8215	133.9504	365.9284	3.869	-0.5048	127.3142	196.7084	0.2297	0.9037	1.5392	264.4878	-0.5495	56.4009	3.1371	32.6071	163.0723	479.2215	480.064	51.8796	1233.9155	
57	3.2	88.3	56	89.4	62.2	0.0746	4473.9639	106.848	104.1913	64.3811	61.6776	0.0629	118.1567	277.2344	131.6897	363.9134	3.9004	-0.6166	125.6134	243.483	0.1264	0.8195	1.6298	261.7251	-0.5749	57.3589	3.1381	33.4464	163.2094	475.159	476.0457	46.6984	967.339	
58	3.8	87.45	57	88.7	62.89	-0.0902	4488.9479	109.9623	105.8153	64.0267	60.1949	0.0656	113.8246	272.1882	131.9404	365.4036	4.6498	7.3849	125.7648	239.8625	0.177	1.2766	1.1396	231.0927	-0.5847	55.1846	3.1387	32.1066	174.19	470.5336	470.486	52.2114	1310.3649	
59	3.2	87.65	58	89.4	63.4	0.0257	4480.1739	115.3632	104.7067	69.2625	65.4909	0.0485	103.9152	269.0899	134.2955	367.3718	4.5386	-0.1745	127.5327	293.8507	0.3939	1.1742	1.2182	261.4548	-0.5907	55.5522	3.139	31.7831	171.9957	469.5608	469.4116	54.1404	1479.7604	
60	3.2	88.02	59	89.2	62.37	0.0707	4482.6138	113.746	104.0879	66.469	64.3463	0.0466	104.4996	278.1417	132.505	367.9847	4.5727	-0.504	126.2283	257.3759	0.3412	1.058	1.311	265.4573	-0.619	58.2261	3.1341	33.3795	169.8693	467.9255	468.4101	52.8024	1317.6124	
61	3.2	88.02	60	89.7	61.6	1.2216	4453.9094	108.3659	105.2822	66.577	60.8235	0.0475	103.263	267.7759	131.8208	366.6397	4.5452	1.092	125.975	283.7187	0.165	1.1226	1.2699	269.8974	-0.5889	56.9594	3.1342	32.0124	166.9542	467.8587	468.1387	58.5684	1742.1338	
62	5.8	87.22	61	89	59.94	1.3136	4469.7913	108.3118	106.0076	66.7619	61.8447	0.0437	103.9705	274.9265	132.4043	366.4524	4.6101	4.9934	126.4893	251.0225	0.2365	1.1149	1.2875	276.1748	-0.641	57.9589	3.1352	33.7336	170.5005	468.0238	468.0751	60.2393	1753.1457	
63	3.2	87.52	62	89.1	58.7	0.2437	4452.2828	109.6805	105.2801	68.3212	62.3937	0.0474	103.5452	274.6466	133.4217	367.2221	4.6913	-0.6097	127.4391	232.8245	-0.0166	1.1836	1.1802	451.5554	-0.6325	58.6355	3.1352	33.2132	172.4237	466.5778	466.5819	57.4155	1591.7108	
64	3.2	87.22	63	88.8	58.81	-0.2618	4501.7865	109.3707	103.8367	64.9122	61.8348	0.0603	118.1349	268.5412	132.5865	364.4787	4.4526	6.4929	126.5828	184.6803	-0.0204	0.9195	1.5222	380.6693	-0.6433	56.3642	3.1357	33.1062	171.5614	477.8009	477.6441	60.7169	1795.7922	
65	3.2	87.22	64	88.3	58.9	-0.1407	4488.9397	109.5948	114.4352	64.3216	60.7967	0.069	117.9807	268.2444	131.6507	362.3661	4.4023	0.4257	126.0589	216.7097	-0.036	0.8379	1.5807	460.8084	-0.5866	54.425	3.1332	31.3046	167.2807	479.285	479.2083	59.1242	1775.7252	
66	3.2	87.42	65	88.7	58.39	-0.2337	4357.6069	109.949	123.2777	59.7759	61.1839	0.0618	118.8943	280.7957	129.5033	362.5594	4.202	-0.6107	123.9721	196.2247	-0.0188	0.7388	1.6969	430.4538	-0.7243	60.6605	3.1364	36.6911	159.8702	469.2561	469.3796	64.7727	1810.3138	
67	3.2	87.72	66	89	58	-0.2509	4361.9957	109.5108	117.3415	57.6767	56.8684	0.0586	119.4003	265.2689	127.4841	365.1552	5.7063	-0.4728	122.6319	159.2751	-0.016	0.5314	1.4527	405.2039	-0.6393	53.7918	3.1214	30.1756	150.4928	473.3861	472.4901	64.8298	2236.9414	
68	3.2	87.12	67	88.5	58	-0.2581	4357.0628	109.1866	122.6224	59.0228	59.2512	0.0628	118.2923	273.5737	128.8003	364.2667	4.352	-1.2165	123.319	160.6268	-0.0044	0.8646	1.5474	276.109	-0.7214	57.5714	3.1349	33.1527	165.1717	472.2154	472.5612	57.092	2041.3053	
69	3.2	86.42	68	88	58.5	-0.2538	4375.9501	109.8613	131.3886	58.7678	58.3702	0.064	118.4816	270.7901	128.6911	365.0257	4.4211	0.7514	123.5479	180.0234	-0.0063	0.8184	1.6333	194.9482	-0.7103	56.1251	3.1338	31.8251	164.3813	470.6965	470.7718	64.2416	1993.6598	
70	3.2	86.92	69	88.7	57.3	-0.2301	4387.0213	110.306	48.1653	35.8806	46.5782	0.0593	122.4203	266.3427	114.9487	360.9931	4.2188	-1.2629	111.0823	90.0839	-0.0192	0.7901	1.6395	202.7413	-0.6893	55.3563	3.137	30.6297	164.7731	474.4211	474.8611	79.0125	3375.4712	
71	3.2	88.82	70	90.6	56.5	-0.1192	4362.2975	110.6778	119.5119	56.5967	57.1093	0.0577	118.2873	276.7925	127.1447	366.786	4.5122	-0.6478	122.2018	179.6218	-0.0058	0.845	1.6141	207.4247	-0.6732	56.1581	3.1329	31.7381	162.3089	472.8245	472.6511	63.0187	2187.6414	
72	3.2	89.32	71	90.8	57.67	0.9188	4450.3075	107.6967	119.6896	56.4202	56.4881	0.0606	135.2881	279.2212	126.6486	363.1738	3.5148	0.0657	121.8248	213.4198	-0.018	0.685	1.7664	210.2883	-0.7272	54.5524	3.137	30.6254	158.3883	465.0765	465.0385	63.1878	2238.6459	
73	3.2	87.9	72	89.3	58.69	7.3357	4461.166	109.5233	79.9685	62.4518	60.2336	0.0439	93.0876	269.4847	127.0856	366.833	4.7518	-1.2677	122.3917	216.7851	-0.0238	1.2996	0.9695	214.3218	-0.7538	60.3386	3.1241	31.3792	176.2679	453.4396	453.7248	56.1222	1779.8986	
74	3.2	87	73	88.3	59.2	-0.0611	4433.9957	107.3267	77.3153	60.0946	60.0274	0.0502	102.9408	274.6699	127.9243	367.0998	4.6967	-0.721	123.0389	181.9855	-0.0348	1.6705	0.6326	233.3023	-0.7945	61.2455	3.1277	32.2496	185.0047	459.0871	459.3492	58.6082	1860.3745	
75	3.2	87	74	88.4	59.9	-0.2428	4449.7154	103.8815	78.0519	61.8414	61.1119	0.0372	102.5705	285.4664	129.3348	368.9582	4.5185	-1.2759	123.9952	165.504	-0.0243	1.2433	1.0635	333.4931	-0.8129	61.5227	3.1338	33.2135	174.5702	459.1462	459.3287	65.1084	2333.528	
76	3.2	86.9	75	88.7	62.2	-0.2294	4462.2063	113.0255	78.3334	57.2045	56.2348	0.0586	116.9798	271.0231	127.1253	368.3927	4.3666	-1.2673	122.1626	132.0551	-0.0123	0.69	1.7222	445.172	-0.7427	54.5164	3.1349	29.7723	163.6345	460.9772	460.8515	48.1743	2079.4228	
77	3.2	88.62	76	90.1	57.9	-0.2408	4458.1921	106.9698	122.3253	62.4899	58.6435	0.054	117.3992	273.841	130.3689	369.2278	4.8234	-1.0163	125.1773	229.7287	-0.0007	0.9005	1.4872	440.7816	-0.7295	55.4736	3.1329	30.0576	165.1031	454.839	455.0771	56.1076	1934.2686	
78	3.2	88.72	77	90.1	53.6	0.0594	4433.3929	107.3317	124.1407	68.0538	64.2814	0.0549	123.5865	285.5889	133.8882	368.3482	4.3389	-1.2732	127.7626	258.4626	-0.0196	0.936	1.5341	459.072	-0.9244	61.2362	3.132	36.2172	169.8885	458.8271	459.0579	54.9158	1632.1622	
79	4.7	88.22	78	89.9	53.4	0.775	4415.5552	105.8831	125.2742	66.4533	62.3481	0.0581	116.4992	284.9264	132.6815	367.3347	4.3831	-1.2664	126.9663	283.0459	0.0673	0.9712	1.4928	427.8431	-0.8337	58.9695	3.1351	33.9964	168.5149	454.8404	454.9232	54.2749	1712.2275	
